TYPE	NAME	ABBREVIATION	TERM
4	Surveys	PANELSURVEY.IPAQ	International Physical Activity Questionnaire (IPAQ) set
4	Surveys	PANELSURVEY.LIV-HIV	Living with HIV set
4	Surveys	PANELSURVEY.MDS	Minimum Data Set for Nursing Home Resident Assessment and Care Screening set
4	Surveys	PANELSURVEY.MFS	Morse Fall Scale set
4	Surveys	PANELSURVEY.MLHFQ	Minnesota Living with Heart Failure Questionnaire (MLHFQ) set
4	Surveys	PANELSURVEY.MTLHLTH	Mental Health survey set
4	Surveys	PANELSURVEY.NEURO	Neurological survey set
4	Surveys	PANELSURVEY.NEUROQ	Quality of Life Outcomes in Neurological Disorders (NeuroQol) set
4	Surveys	PANELSURVEY.NHANES	National Health and Nutrition Examination Survey (NHANES) set
4	Surveys	PANELSURVEY.NIDA	National Institute on Drug Abuse set
4	Surveys	PANELSURVEY.NIH.EMO	NIH Toolbox Emotion Domain panels
4	Surveys	PANELSURVEY.NMMDS	Nursing Management Minimum Data set
4	Surveys	PANELSURVEY.NORTON	Norton Scale survey set
4	Surveys PANELSURVEY.NPASS	Neonatal Pain, Agitation and Sedation Scale set
4	Surveys	PANELSURVEY.NSRAS	Neonatal Skin Risk Assessment Scale survey
4	Surveys	PANELSURVEY.OASIS	Outcome and Assessment Information Survey set
4	Surveys	PANELSURVEY.OMAHA	OMAHA survey set
4	Surveys	PANELSURVEY.OPTIMAL	Outpatient Physical Therapy Improvement in Movement a Assessment Log set
4	Surveys	PANELSURVEY.PAS	Patient Activity Scale (PAS) set
4	Surveys	PANELSURVEY.PASII	Patient Activity Scale II (PAS-II) set
4	Surveys	PANELSURVEY.PCORI	Patient-Centered Outcomes Research Institute (PCORI) set
4	Surveys	PANELSURVEY.PCORNET	Patient Centered Outcomes Research Network (PCORnet) Common Data Model (CDM) set
4	Surveys	PANELSURVEY.PEG	Pain intensity, Enjoyment of life, General activity (PEG) set
4	Surveys	PANELSURVEY.PHQ	Patient Health Questionnaire set
4	Surveys	PANELSURVEY.PRAPARE	Protocol for Responding to and Assessing Patients Assets Risks and Experiences (PRAPARE) set
4	Surveys	PANELSURVEY.PROMIS	Patient Reported Outcomes Measurement System set
4	Surveys	PANELSURVEY.QAM	Quality Audit Marker set
4	Surveys	PANELSURVEY.QRDA	Quality Health Reporting Document Architecture set
4	Surveys	PANELSURVEY.RFC	Residual Functional Capacity set
4	Surveys	PANELSURVEY.SAMHSA	Substance Abuse and Mental Health Services Administration (SAMHSA) set
4	Surveys	PANELSURVEY.SDOH	Social determinants of heath set
4	Surveys	PANELSURVEY.SEEK	Safe Environtment for Every Kid
4	Surveys	PANELSURVEY.SKINDEX	Skindex set
4	Surveys	PANELSURVEY.USSGFHT	United States Surgeon General Family Health Tool (USSGFHT) set
4	Surveys	PANELSURVEY.WELLRX	WellRX Questionnaire set`
4	Surveys	PANELTIMP	Test of Infant Motor Performance(TIMP) set
4	Surveys	SURVEY.AAOS	American Academy of Orthopaedic Surgeons (AAOS) survey
4	Surveys	SURVEY.ACT	Asthma Control Test (ACT)
4	Surveys	SURVEY.ADHD	Attention Deficit Hyperactivity Disorder (ADHD)
4	Surveys	SURVEY.ADVAULT	ADVault survey
4	Surveys	SURVEY.AHRQ	Agency for Healthcare Research and Quality (AHRQ) survey
4	Surveys	SURVEY.ALSFRSR	ALS Functional Rating Scale - Revised
4	Surveys	SURVEY.AMNART	American National Adult Reading Test (AmNART)
4	Surveys	SURVEY.BADS	Brief Anxiety and Depression scale (BADS)
4	Surveys	SURVEY.BCAT	Brief Congnitive Assessment Tool (BCAT)
4	Surveys	SURVEY.BDI	Beck Depression Inventory (BDI)
4	Surveys	SURVEY.BPI	Brief Pain Inventory (BPI)
4	Surveys	SURVEY.BRIEF	BRIEF survey
4	Surveys	SURVEY.CARE	Continuity Assessment Record and Evaluation (CARE) survey
4	Surveys	SURVEY.CDC	Centers for Disease Control (CDC) survey
4	Surveys	SURVEY.CESD	Center for Epidemiological Studies Depression (CESD) survey
4	Surveys	SURVEY.CERNER	Cerner survey
4	Surveys	SURVEY.CMS	Centers for Medicare & Medicaid Services (CMS) survey
4	Surveys	SURVEY.COOP	Dartmouth Cooperative Functional Status Test (COOP)
4	Surveys	SURVEY.CSSRS	Columbia Suicide Severity Rating Scale (CSSRS)
4	Surveys	SURVEY.DAST	Drug Abuse Screening Test (DAST)
4	Surveys	SURVEY.DUKE-AD	Duke Anxiety Depression Scale (DUKE-AD)
4	Surveys	SURVEY.EPDS	Edinburgh Postnatal Depression Scale (EPDS)
4	Surveys	SURVEY.ESRD	End Stage Renal Disease (ESRD) facility survey
4	Surveys	SURVEY.GDS	Geriatric Depression Scale (GDS) survey
4	Surveys	SURVEY.GNHLTH	General Health survey
4	Surveys	SURVEY.GPCOG	General Practitioner Assessment of Cognition (GPCOG)
4	Surveys	SURVEY.HABC	Healthy Aging Brain Care (HABC) survey
4	Surveys	SURVEY.HAQ	Health Assessment Questionnaire (HAQ)
4	Surveys	SURVEY.HARK	Humiliation, Afraid, Rape, and Kick (HARK)
4	Surveys	SURVEY.HHS	Department of Health and Human Services (HHS) survey
4	Surveys	SURVEY.HITS	HITS Survey
4	Surveys	SURVEY.howRu	howRU outcomes instrument survey
4	Surveys	SURVEY.HWS	Healthy Weight Summary (HWS)
4	Surveys	SURVEY.IPAQ	International Physical Activity Questionnaire (IPAQ)
4	Surveys	SURVEY.MDS	Minimum Data Set (MDS) for Nursing Home Resident Assessment and Care Screening survey
4	Surveys	SURVEY.MFS	Morse Fall Scale (MFS) survey
4	Surveys	SURVEY.MISC	Miscellaneous survey
4	Surveys	SURVEY.MLHFQ	Minnesota Living with Heart Failure Questionnaire (MLHFQ)
4	Surveys	SURVEY.MTLHLTH	Mental Health survey
4	Surveys	SURVEY.NEURO	Neurological survey
4	Surveys	SURVEY.NEUROQ	Quality of Life Outcomes in Neurological Disorders (NeuroQol) survey
4	Surveys	SURVEY.NHANES	National Health and Nutrition Examination Survey (NHANES)
4	Surveys	SURVEY.NHCS	National Health Care Survey (NHCS)
4	Surveys	SURVEY.NIDA	National Institure of Drug Abuse
4	Surveys	SURVEY.NIH.EMO	NIH Toolbox Emotion Domain
4	Surveys	SURVEY.NIH_TOOLBOX	NIH Toolbox survey
4	Surveys	SURVEY.NMMDS	Nursing Management Minimum Data Survey (NMMDS)
4	Surveys	SURVEY.NORTON	Norton Scale survey
4	Surveys	SURVEY.NPASS	Neonatal Pain, Agitation and Sedation Scale
4	Surveys	SURVEY.NSRAS	Neonatal Skin Risk Assessment Scale (NSRAS)
4	Surveys	SURVEY.NURSE.HHCC	Home Health Care Classification (HHCC) survey
4	Surveys	SURVEY.NURSE.HIV-SSC	Signs and Symptoms Checklist (SSC) for persons living with HIV survey
4	Surveys	SURVEY.NURSE.LIV-HIV	Living with HIV survey
4	Surveys	SURVEY.NURSE.OMAHA	OMAHA survey
4	Surveys	SURVEY.NURSE.QAM	Quality Audit Marker (QAM) survey
4	Surveys	SURVEY.OASIS	Outcome and Assessment Information Survey (OASIS)
4	Surveys	SURVEY.OPTIMAL	Outpatient Physical Therapy Improvement in Movement and Assessment Log (OPTIMAL)
4	Surveys	SURVEY.PAS	Patient Activity Scale (PAS)
4	Surveys	SURVEY.PASII	Patient Activity Scale II (PAS-II)
